Date,Close
5/29/2023,2680
5/30/2023,2650
5/31/2023,2620
6/5/2023,2660
6/6/2023,2650
6/7/2023,2670
6/8/2023,2700
6/9/2023,2730
6/12/2023,2700
6/13/2023,2740
6/14/2023,2740
6/15/2023,2700
6/16/2023,2720
6/19/2023,2650
6/20/2023,2660
6/21/2023,2690
6/22/2023,2640
6/23/2023,2610
6/26/2023,2610
6/27/2023,2610
7/3/2023,2600
7/4/2023,2620
7/5/2023,2700
7/6/2023,2640
7/7/2023,2640
7/10/2023,2600
7/11/2023,2590
7/12/2023,2590
7/13/2023,2560
7/14/2023,2550
7/17/2023,2500
7/18/2023,2430
7/20/2023,2380
7/21/2023,2500
7/24/2023,2500
7/25/2023,2440
7/26/2023,2430
7/27/2023,2400
7/28/2023,2430
7/31/2023,2420
8/1/2023,2440
8/2/2023,2410
8/3/2023,2500
8/4/2023,2530
8/7/2023,2560
8/8/2023,2560
8/9/2023,2590
8/10/2023,2590
8/11/2023,2590
8/14/2023,2600
8/15/2023,2650
8/16/2023,2660
8/18/2023,2670
8/21/2023,2640
8/22/2023,2650
8/23/2023,2660
8/24/2023,2650
8/25/2023,2650
8/28/2023,2620
8/29/2023,2600
8/30/2023,2640
8/31/2023,2620
9/1/2023,2590
9/4/2023,2550
9/5/2023,2500
9/6/2023,2460
9/7/2023,2430
9/8/2023,2500
9/11/2023,2550
9/12/2023,2620
9/13/2023,2610
9/14/2023,2570
9/15/2023,2590
9/18/2023,2530
9/19/2023,2510
9/20/2023,2500
9/21/2023,2510
9/22/2023,2580
9/25/2023,2590
9/26/2023,2540
9/27/2023,2560
9/29/2023,2550
10/2/2023,2530
10/3/2023,2530
10/4/2023,2530
10/5/2023,2720
10/6/2023,2670
10/9/2023,2640
10/10/2023,2640
10/11/2023,2640
10/12/2023,2610
10/13/2023,2590
10/16/2023,2600
10/17/2023,2650
10/18/2023,2670
10/19/2023,2630
10/20/2023,2610
10/23/2023,2650
10/24/2023,2650
10/25/2023,2660
10/26/2023,2640
10/27/2023,2680
10/30/2023,2630
10/31/2023,2850
11/1/2023,2600
11/2/2023,2640
11/3/2023,2620
11/6/2023,2620
11/7/2023,2630
11/8/2023,2620
11/9/2023,2670
11/10/2023,2620
11/13/2023,2650
11/14/2023,2610
11/15/2023,2640
11/16/2023,2580
11/17/2023,2590
11/20/2023,2560
11/21/2023,2550
11/22/2023,2540
11/23/2023,2530
11/24/2023,2510
11/27/2023,2490
11/28/2023,2530
11/29/2023,2500
11/30/2023,2550
12/1/2023,2520
12/4/2023,2480
12/5/2023,2430
12/6/2023,2440
12/7/2023,2360
12/8/2023,2400
12/11/2023,2390
12/12/2023,2420
12/13/2023,2380
12/14/2023,2320
12/15/2023,2300
12/18/2023,2310
12/19/2023,2420
12/20/2023,2400
12/21/2023,2330
12/22/2023,2380
12/27/2023,2380
12/28/2023,2500
12/29/2023,2490
1/2/2024,2470
1/3/2024,2420
1/4/2024,2450
1/5/2024,2440
1/8/2024,2400
1/9/2024,2440
1/10/2024,2450
1/11/2024,2430
1/12/2024,2420
1/15/2024,2450
1/16/2024,2450
1/17/2024,2400
1/18/2024,2370
1/19/2024,2400
1/22/2024,2380
1/23/2024,2350
1/24/2024,2360
1/25/2024,2340
1/26/2024,2320
1/29/2024,2290
1/30/2024,2280
1/31/2024,2350
2/1/2024,2390
2/2/2024,2360
2/5/2024,2390
2/6/2024,2410
2/7/2024,2400
2/12/2024,2390
2/13/2024,2320
2/15/2024,2380
2/16/2024,2360
2/19/2024,2260
2/20/2024,2290
2/21/2024,2330
2/22/2024,2370
2/23/2024,2410
2/26/2024,2390
2/27/2024,2370
2/28/2024,2440
2/29/2024,2460
3/1/2024,2470
3/4/2024,2450
3/5/2024,2390
3/6/2024,2370
3/7/2024,2370
3/8/2024,2340
3/13/2024,2400
3/14/2024,2370
3/15/2024,2420
3/18/2024,2440
3/19/2024,2530
3/20/2024,2500
3/21/2024,2550
3/22/2024,2540
3/25/2024,2590
3/26/2024,2630
3/27/2024,2570
3/28/2024,2540
4/1/2024,2530
4/2/2024,2570
4/3/2024,2550
4/4/2024,2500
4/5/2024,2420
4/16/2024,2300
4/17/2024,2310
4/18/2024,2360
4/19/2024,2290
4/22/2024,2330
4/23/2024,2320
4/24/2024,2320
4/25/2024,2450
4/26/2024,2420
4/29/2024,2370
4/30/2024,2400
5/2/2024,2400
5/3/2024,2350
5/6/2024,2360
5/7/2024,2380
5/8/2024,2370
5/13/2024,2320
5/14/2024,2340
5/15/2024,2330
5/16/2024,2340
5/17/2024,2320
5/20/2024,2290
5/21/2024,2300
5/22/2024,2280
5/27/2024,2290
5/28/2024,2290
5/29/2024,2290
5/30/2024,2230
5/31/2024,2270
6/3/2024,2290
6/4/2024,2290
6/5/2024,2280
6/6/2024,2370
6/7/2024,2370
6/10/2024,2410
6/11/2024,2400
6/12/2024,2390
6/13/2024,2370
6/14/2024,2380
6/19/2024,2410
6/20/2024,2350
6/21/2024,2380
6/24/2024,2390
6/25/2024,2350
6/26/2024,2360
6/27/2024,2370
6/28/2024,2350
7/1/2024,2360
7/2/2024,2360
7/3/2024,2450
7/4/2024,2430
7/5/2024,2440
7/8/2024,2450
7/9/2024,2430
7/10/2024,2410
7/11/2024,2450
7/12/2024,2480
7/15/2024,2480
7/16/2024,2500
7/17/2024,2450
7/18/2024,2600
7/19/2024,2580
7/22/2024,2600
7/23/2024,2570
7/24/2024,2510
7/25/2024,2540
7/26/2024,2610
7/29/2024,2580
7/30/2024,2570
7/31/2024,2610
